filename,number_of_clips,feature_dimension,mean,std,min,max
MVI_20011.npy,163,768,-0.00016872651758603752,0.4147816598415375,-1.92578125,4.88671875
MVI_20012.npy,231,768,5.5864788009785116e-05,0.4185158312320709,-1.8720703125,4.96875
MVI_20032.npy,106,768,-0.0009878716664388776,0.41353124380111694,-1.9521484375,5.18359375
MVI_20033.npy,193,768,-0.00047842544154264033,0.4130168855190277,-2.09375,5.08984375
MVI_20034.npy,197,768,-0.000575822195969522,0.40395429730415344,-2.013671875,5.15234375
MVI_20035.npy,197,768,-0.0004643342108465731,0.4026501476764679,-1.9052734375,5.171875
MVI_20051.npy,223,768,0.00019924055959563702,0.413858562707901,-1.9150390625,4.86328125
MVI_20052.npy,170,768,-0.000396508548874408,0.4028012752532959,-1.9111328125,5.0546875
MVI_20061.npy,197,768,-0.0001364021300105378,0.42732155323028564,-1.7529296875,4.8671875
MVI_20062.npy,197,768,-0.0008985901367850602,0.42452874779701233,-2.013671875,4.890625
MVI_20063.npy,197,768,-0.0008128873887471855,0.42975375056266785,-1.94921875,4.953125
MVI_20064.npy,197,768,-0.0004158286901656538,0.426305890083313,-1.779296875,4.8671875
MVI_20065.npy,297,768,0.0009439797140657902,0.4370652437210083,-1.7041015625,4.9296875
MVI_39031.npy,364,768,0.0007711811340413988,0.43141302466392517,-2.099609375,4.84765625
MVI_39051.npy,277,768,1.7689328160486184e-05,0.4223620593547821,-1.9013671875,4.796875
MVI_39211.npy,412,768,0.001629064790904522,0.4493120312690735,-2.287109375,4.80078125
MVI_39271.npy,389,768,0.0014058913802728057,0.4308168590068817,-2.013671875,4.7734375
MVI_39311.npy,373,768,0.004433067515492439,0.44325774908065796,-1.7119140625,4.61328125
MVI_39361.npy,504,768,0.001322754891589284,0.44435590505599976,-2.0,4.85546875
MVI_39371.npy,344,768,0.00034634259645827115,0.4462951719760895,-1.9150390625,4.5703125
MVI_39401.npy,343,768,0.0010737974662333727,0.41823163628578186,-1.7861328125,5.0390625
MVI_39501.npy,132,768,-0.0004950975999236107,0.40771061182022095,-1.7294921875,4.9453125
MVI_39511.npy,92,768,-0.0016092710429802537,0.4028228521347046,-1.3828125,4.96484375
MVI_39761.npy,412,768,-0.0014931608457118273,0.3990320563316345,-2.146484375,5.39453125
MVI_39771.npy,139,768,-0.0011225463822484016,0.4086456596851349,-1.7275390625,5.01953125
MVI_39781.npy,463,768,-0.0009979346068575978,0.42436930537223816,-2.12890625,5.10546875
MVI_39801.npy,218,768,0.0007892695721238852,0.46158963441848755,-2.138671875,4.17578125
MVI_39811.npy,264,768,-0.001915252418257296,0.45945337414741516,-2.560546875,4.4140625
MVI_39821.npy,217,768,0.002205620054155588,0.47838231921195984,-1.8466796875,3.900390625
MVI_39851.npy,352,768,0.0009924388723447919,0.420973002910614,-1.8662109375,5.12890625
MVI_39861.npy,183,768,0.002759241033345461,0.45380446314811707,-1.8837890625,4.23046875
MVI_39931.npy,314,768,-0.0024087827187031507,0.4162631034851074,-2.25,5.00390625
MVI_40131.npy,408,768,0.00019945520034525543,0.4052281379699707,-1.765625,5.28125
MVI_40141.npy,397,768,-0.0018937707645818591,0.3927285075187683,-1.9775390625,5.3359375
MVI_40152.npy,434,768,-5.1843519031535834e-05,0.4074642062187195,-1.94140625,5.265625
MVI_40161.npy,369,768,-0.0017162439180538058,0.3992422819137573,-1.9013671875,5.23828125
MVI_40162.npy,438,768,-0.0014181621372699738,0.3996157944202423,-2.01171875,5.3671875
MVI_40171.npy,284,768,-0.0008341040229424834,0.4080486595630646,-2.173828125,5.01953125
MVI_40172.npy,655,768,-0.0007786790956743062,0.41100841760635376,-2.71875,5.01953125
MVI_40181.npy,422,768,-0.0009383240831084549,0.4220958650112152,-2.201171875,4.91796875
MVI_40191.npy,620,768,7.023145735729486e-05,0.4074559509754181,-1.7509765625,5.05859375
MVI_40192.npy,545,768,-7.784398621879518e-05,0.4083849787712097,-1.8291015625,5.0078125
MVI_40201.npy,228,768,-0.001081736059859395,0.4081769585609436,-1.787109375,4.9765625
MVI_40204.npy,303,768,-0.0013315430842339993,0.4089025557041168,-1.78515625,5.01953125
MVI_40211.npy,484,768,0.00019815520499832928,0.41023901104927063,-2.81640625,5.19140625
MVI_40212.npy,419,768,0.0007798839942552149,0.4169309437274933,-2.734375,5.0078125
MVI_40213.npy,444,768,0.0007092051091603935,0.4131515920162201,-2.947265625,5.140625
MVI_40241.npy,577,768,-0.0010200162651017308,0.3902209401130676,-1.8837890625,5.33203125
MVI_40243.npy,313,768,-0.0008991738432087004,0.38839566707611084,-1.578125,5.35546875
MVI_40244.npy,333,768,-0.0011238977313041687,0.38650062680244446,-1.8740234375,5.33984375
MVI_40701.npy,279,768,0.0001372319384245202,0.43061161041259766,-1.701171875,4.55859375
MVI_40711.npy,254,768,0.00015883674495853484,0.41936054825782776,-1.6357421875,4.77734375
MVI_40712.npy,597,768,0.0005088822799734771,0.41456663608551025,-1.65625,4.90234375
MVI_40714.npy,292,768,0.001541230594739318,0.42550837993621826,-1.5673828125,4.703125
MVI_40732.npy,527,768,0.001189956208691001,0.46678298711776733,-1.943359375,4.0703125
