filename,mean_anomaly,max_anomaly,min_anomaly,variance,peak_count,anomaly_duration
MVI_20011.npy,14.09965660981854,14.116663165944386,14.086670618620511,3.258662283736684e-05,12,29
MVI_20012.npy,14.09560767177761,14.13564770707647,14.075729171812739,0.00010730180563177155,6,28
MVI_20032.npy,14.09622777624197,14.13013962842493,14.06980029787625,0.00014677519481153477,11,16
MVI_20033.npy,14.11004315943062,14.122912827503969,14.092287045604733,3.2163605093975546e-05,23,31
MVI_20034.npy,14.101939443839553,14.117203696063813,14.085952627835024,3.7811175194659745e-05,16,34
MVI_20035.npy,14.10317713099123,14.11378443455596,14.093930814658794,1.595300134091083e-05,16,33
MVI_20051.npy,14.094831234289149,14.119569112064019,14.077772213189641,7.26952067996469e-05,15,41
MVI_20052.npy,14.098522691496221,14.11014705926302,14.082026564609974,3.7188340761638007e-05,11,29
MVI_20061.npy,14.097999790841486,14.13083050072985,14.076518702001575,0.0001459911175845762,13,36
MVI_20062.npy,14.100951315631645,14.146821804933307,14.075930168220488,0.00018527039813854854,7,31
MVI_20063.npy,14.109228326229008,14.159439475829165,14.081945148952196,0.00018631791857714455,9,27
MVI_20064.npy,14.107434632270492,14.14118023483046,14.083154635763757,0.00013161158001740797,8,26
MVI_20065.npy,14.104411532083446,14.12690876640068,14.081228949852926,6.925458892106923e-05,17,39
MVI_39031.npy,14.08235631541966,14.125905111109349,14.05518273497924,0.00013582555483582128,13,52
MVI_39051.npy,14.097960054265705,14.141333958284168,14.058364306151788,0.0003598235685134575,18,50
MVI_39211.npy,14.08436651289502,14.131391470767019,14.056267234670702,0.0001799340011372789,18,67
MVI_39271.npy,14.12604208860099,14.164653119085198,14.083752168718464,0.0001518012260499409,19,45
MVI_39311.npy,14.12296072495529,14.157755508010181,14.09294412524379,0.00014414463001352092,27,68
MVI_39361.npy,14.186942727118732,14.288519980747173,14.105436633503105,0.0026281574794660184,29,95
MVI_39371.npy,14.139586021847803,14.171410641600056,14.101347383896584,0.00017022101974585886,24,60
MVI_39401.npy,14.130024770537286,14.163132750826906,14.108772157234458,8.367508902913197e-05,17,50
MVI_39501.npy,14.116656414758442,14.13339015046056,14.099931430531132,6.902667920712963e-05,7,24
MVI_39511.npy,14.104152917821724,14.114106141004104,14.09384350472541,2.1049983252633557e-05,10,15
MVI_39761.npy,14.109799905700928,14.153364528791649,14.087576663044317,0.0001491693813366917,17,63
MVI_39771.npy,14.123131401313872,14.137785334402865,14.10815719805867,3.2497494541137456e-05,15,23
MVI_39781.npy,14.123303623545642,14.15835777261034,14.084617383975134,0.000204518611332333,21,81
MVI_39801.npy,14.142578734929467,14.17940405222692,14.104245384431806,0.00020772838376058458,12,35
MVI_39811.npy,14.12088257544665,14.17697459825212,14.065521987196178,0.00047437228579438103,14,41
MVI_39821.npy,14.14223957447747,14.181666817680535,14.104601041052515,0.000246833249019344,12,39
MVI_39851.npy,14.102237264655146,14.137679718695235,14.070930869041677,0.00020093098064797668,10,56
MVI_39861.npy,14.112775555467094,14.170301454295771,14.068556739958034,0.0003760811293358495,8,25
MVI_39931.npy,14.099465681856495,14.147438469049092,14.063381435985585,0.0003005883282305111,12,60
MVI_40131.npy,14.104453547948747,14.118362109078937,14.087945416861839,3.439740830550033e-05,34,77
MVI_40141.npy,14.104352928685962,14.138955843166487,14.080903312278746,0.00010074370080399972,23,64
MVI_40152.npy,14.106207349785201,14.145293213629548,14.068008097480963,0.00014707209846752446,22,65
MVI_40161.npy,14.11438962886538,14.130722745899748,14.081607917350624,7.623727214630691e-05,32,46
MVI_40162.npy,14.114658789380027,14.150080441161508,14.079494309663344,0.00013251742251478053,16,39
